"field","react","react_immutable","react_immutable_mixin"
"MajorGC",77.41899996995926,9.560000032186508,12.74700003862381
"MinorGC",400.8020000010729,160.92600002884865,166.81100004911423
"Layout",524.7680000066757,568.5890000015497,619.2269999831915
"Paint",274.72100000083447,296.9620000869036,319.84799997508526
"mean_frame_time",22.180570332481125,21.294118686870792,21.743949622178558
"droppedFrameCount",352,356,369
"ExpensivePaints",0,0,0
"ExpensiveEventHandlers",20,23,23
"NodePerLayout_avg",4009.836363636364,4013.8474576271187,4012.590909090909
"frames_per_sec",45.08450346453015,46.96132367368484,45.98980485955562
"percentage_smooth",90.02557544757033,86.36363636363636,88.41309823677582
"domReadyTime",3,5,4
"totalJSHeapSize_max",60300000,50400000,50400000
"totalJSHeapSize_avg",60300000,50400000,50400000
"usedJSHeapSize_max",37300000,21700000,20500000
"usedJSHeapSize_avg",37300000,21700000,20500000
"Javascript",7336.734000012279,7037.963000193238,6850.399000301957